id;start_date;end_date;language
1;2019-06-01T02:36:30;2019-05-31T19:44:47;FRENCH
2;2019-06-01T04:06:35;2019-05-31T13:12:45;FRENCH
3;2019-05-31T23:38:40;2019-05-31T15:02:40;FRENCH
4;2019-05-31T12:50:31;2019-05-31T20:17:33;FRENCH
5;2019-05-31T21:49:10;2019-06-01T02:33:19;FRENCH
6;2019-06-01T04:06:11;2019-06-01T05:23:07;FRENCH
7;2019-05-31T13:28:31;2019-06-01T02:09:17;FRENCH
8;2019-05-31T10:59:49;2019-05-31T18:59:58;FRENCH
9;2019-05-31T20:47:55;2019-06-01T05:12:34;FRENCH
10;2019-06-01T00:06:05;2019-05-31T21:22:20;FRENCH
